Order ID,Order Date,Ship Date,Customer ID,Segment,Region,Category,Sub-Category,Product Name,Quantity,Discount,Sales,Profit
CA-2024-000046,2024-06-16,2024-06-23,CU-1071,Home Office,South,Office Supplies,Art,Newell 312 Mechanical Pencil,2,0.1,17.81,-17.13
CA-2024-000047,2024-09-30,2024-10-03,CU-1334,Corporate,South,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.2,5.32,-21.8
CA-2024-000048,2024-07-21,2024-07-23,CU-1582,Corporate,West,Technology,Machines,Zebra ZP 450 Thermal Label Printer,2,0.0,1079.52,185.44
CA-2024-000049,2024-07-15,2024-07-22,CU-1476,Corporate,West,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,1,0.0,2246.89,677.99
CA-2024-000050,2024-11-22,2024-11-24,CU-1290,Home Office,South,Office Supplies,Art,Newell 312 Mechanical Pencil,2,0.2,16.01,-18.41
CA-2023-000051,2023-04-06,2023-04-13,CU-1047,Consumer,West,Office Supplies,Storage,Tennsco Industrial Steel Shelving,1,0.0,373.81,62.75
CA-2024-000052,2024-09-17,2024-09-24,CU-1393,Corporate,West,Technology,Accessories,SanDisk Ultra 64GB USB Flash Drive,1,0.2,26.35,-18.16
CA-2023-000053,2023-09-07,2023-09-09,CU-1435,Consumer,East,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.15,5.92,-21.65
CA-2024-000054,2024-12-13,2024-12-18,CU-1475,Home Office,South,Office Supplies,Appliances,Hoover Commercial Lightweight Vacuum,2,0.2,705.12,11.83
CA-2024-000055,2024-03-29,2024-04-03,CU-1162,Home Office,West,Technology,Accessories,Belkin 8-Outlet Surge Protector,3,0.0,261.35,48.15
CA-2024-000056,2024-04-05,2024-04-08,CU-1244,Corporate,West,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,3,0.0,176.7,28.9
CA-2023-000057,2023-03-21,2023-03-27,CU-1236,Corporate,East,Furniture,Furnishings,Eldon Image Series Desk Accessories,1,0.0,66.94,-2.4
CA-2024-000058,2024-12-24,2024-12-26,CU-1430,Corporate,Central,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1,0.0,945.56,161.96
CA-2024-000059,2024-08-12,2024-08-16,CU-1855,Corporate,East,Office Supplies,Appliances,Hoover Commercial Lightweight Vacuum,4,0.0,1853.32,404.84
CA-2024-000060,2024-05-14,2024-05-16,CU-1741,Consumer,West,Furniture,Furnishings,Eldon Image Series Desk Accessories,1,0.0,68.46,1.7
CA-2023-000061,2023-05-11,2023-05-16,CU-1438,Consumer,West,Office Supplies,Art,Newell 312 Mechanical Pencil,3,0.1,26.67,-14.37
CA-2023-000062,2023-07-06,2023-07-07,CU-1284,Corporate,South,Furniture,Tables,Bretford Rectangular Conference Table,1,0.0,1720.92,200.46
CA-2023-000063,2023-03-25,2023-03-29,CU-1799,Home Office,Central,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1,0.3,905.55,50.38
CA-2023-000064,2023-02-01,2023-02-03,CU-1577,Consumer,West,Technology,Machines,Zebra ZP 450 Thermal Label Printer,1,0.0,482.47,88.79
CA-2024-000065,2024-12-17,2024-12-20,CU-1838,Consumer,South,Technology,Accessories,SanDisk Ultra 64GB USB Flash Drive,1,0.1,30.53,-16.9
CA-2023-000066,2023-04-21,2023-04-26,CU-1732,Consumer,Central,Office Supplies,Binders,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,1,0.1,1293.94,211.25
CA-2024-000067,2024-08-29,2024-09-04,CU-1824,Consumer,Central,Technology,Accessories,Belkin 8-Outlet Surge Protector,1,0.1,70.52,-7.34
CA-2023-000068,2023-12-22,2023-12-27,CU-1842,Corporate,Central,Office Supplies,Paper,Hammermill Copy Plus Paper,1,0.0,40.18,-7.5
CA-2024-000069,2024-03-19,2024-03-22,CU-1988,Home Office,South,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,3,0.1,17.74,-15.76
CA-2024-000070,2024-09-22,2024-09-29,CU-1330,Consumer,Central,Furniture,Bookcases,Sauder Camden County Barrister Bookcase,2,0.0,1500.1,107.21
CA-2023-000071,2023-10-13,2023-10-17,CU-1871,Corporate,East,Furniture,Bookcases,Bush Westfield Collection Bookcase,1,0.1,494.19,-12.86
CA-2024-000072,2024-05-14,2024-05-16,CU-1569,Consumer,East,Office Supplies,Paper,Xerox Premium Multipurpose Paper,1,0.0,52.58,-1.25
CA-2023-000073,2023-03-29,2023-03-31,CU-1502,Corporate,Central,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,1,0.15,49.32,-12.95
CA-2023-000074,2023-04-06,2023-04-09,CU-1543,Corporate,West,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2,0.0,1258.6,174.8
CA-2024-000075,2024-07-17,2024-07-20,CU-1323,Consumer,East,Office Supplies,Paper,Xerox Premium Multipurpose Paper,1,0.0,49.2,-3.33
CA-2023-000076,2023-07-16,2023-07-18,CU-1102,Consumer,South,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,1,0.1,52.85,-10.8
CA-2023-000077,2023-08-21,2023-08-24,CU-1566,Corporate,East,Technology,Accessories,Logitech G910 Mechanical Keyboard,1,0.0,255.15,57.24
CA-2024-000078,2024-10-15,2024-10-22,CU-1348,Consumer,Central,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,1,0.0,53.96,-7.79
CA-2023-000079,2023-09-16,2023-09-23,CU-1054,Consumer,East,Office Supplies,Appliances,Hoover Commercial Lightweight Vacuum,3,0.0,1310.17,251.71
CA-2024-000080,2024-07-30,2024-08-02,CU-1633,Consumer,West,Office Supplies,Binders,GBC Ibimaster 500 Manual ProClick Binding System,1,0.1,720.13,82.46
CA-2024-000081,2024-04-06,2024-04-10,CU-1983,Home Office,Central,Furniture,Furnishings,Eldon Image Series Desk Accessories,2,0.0,134.54,18.47
CA-2023-000082,2023-08-01,2023-08-07,CU-1002,Corporate,West,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2,0.0,1168.45,123.34
CA-2024-000083,2024-12-06,2024-12-11,CU-1072,Home Office,East,Office Supplies,Appliances,Hoover Commercial Lightweight Vacuum,1,0.0,454.29,80.03
CA-2023-000084,2023-09-28,2023-10-05,CU-1230,Home Office,East,Technology,Accessories,SanDisk Ultra 64GB USB Flash Drive,2,0.15,52.26,-13.48
CA-2023-000085,2023-09-30,2023-10-07,CU-1943,Corporate,West,Technology,Accessories,Logitech MX Master Wireless Mouse,1,0.15,140.42,9.24
CA-2023-000086,2023-05-08,2023-05-12,CU-1082,Home Office,Central,Office Supplies,Labels,"Avery 5"" x 8"" Label",2,0.2,28.35,-14.82
CA-2024-000087,2024-03-18,2024-03-24,CU-1589,Home Office,Central,Office Supplies,Storage,Fellowes Bankers Box Heavy-Duty Storage Boxes,1,0.0,95.91,9.38
CA-2024-000088,2024-11-19,2024-11-26,CU-1938,Corporate,East,Furniture,Furnishings,Eldon Image Series Desk Accessories,1,0.15,56.19,-8.59
CA-2024-000089,2024-08-22,2024-08-26,CU-1686,Consumer,East,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.0,6.46,-20.75
CA-2023-000090,2023-12-04,2023-12-08,CU-1465,Consumer,South,Office Supplies,Labels,"Avery 5"" x 8"" Label",1,0.2,14.97,-19.04
CA-2023-000091,2023-09-16,2023-09-19,CU-1890,Home Office,West,Technology,Accessories,Logitech MX Master Wireless Mouse,2,0.15,292.17,25.81
CA-2024-000092,2024-02-28,2024-02-29,CU-1208,Corporate,East,Technology,Machines,Zebra ZP 450 Thermal Label Printer,1,0.15,449.19,43.84
CA-2023-000093,2023-10-22,2023-10-26,CU-1726,Consumer,South,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,1,0.0,42.32,-10.19
CA-2024-000094,2024-07-18,2024-07-19,CU-1120,Home Office,East,Office Supplies,Art,Newell 312 Mechanical Pencil,1,0.3,7.21,-21.96
CA-2024-000095,2024-05-25,2024-05-31,CU-1467,Home Office,East,Furniture,Furnishings,Eldon Image Series Desk Accessories,2,0.0,132.51,22.2
CA-2024-000096,2024-01-28,2024-01-30,CU-1808,Corporate,South,Furniture,Bookcases,Sauder Camden County Barrister Bookcase,1,0.2,603.91,-58.85
CA-2024-000097,2024-06-03,2024-06-06,CU-1501,Consumer,West,Technology,Accessories,Belkin 8-Outlet Surge Protector,1,0.0,82.49,2.5
CA-2024-000098,2024-07-05,2024-07-09,CU-1193,Home Office,East,Office Supplies,Storage,Fellowes Bankers Box Heavy-Duty Storage Boxes,2,0.0,175.82,29.86
CA-2024-000099,2024-08-08,2024-08-12,CU-1830,Corporate,West,Furniture,Bookcases,Bush Westfield Collection Bookcase,2,0.0,1171.37,135.9
CA-2024-000100,2024-11-10,2024-11-17,CU-1604,Corporate,Central,Technology,Accessories,Belkin 8-Outlet Surge Protector,5,0.0,372.62,80.51
CA-2024-000101,2024-03-26,2024-03-27,CU-1158,Consumer,West,Office Supplies,Art,Newell 312 Mechanical Pencil,1,0.1,8.5,-20.47
CA-2023-000102,2023-09-29,2023-10-02,CU-1546,Corporate,South,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.0,6.45,-20.57
CA-2024-000103,2024-10-03,2024-10-09,CU-1700,Corporate,East,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,1,0.0,42.22,-12.12
CA-2023-000104,2023-04-03,2023-04-07,CU-1306,Consumer,Central,Technology,Machines,HP LaserJet Pro M404n Printer,2,0.1,691.35,82.09
CA-2023-000105,2023-11-29,2023-12-06,CU-1698,Consumer,East,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1,0.0,916.2,171.23
CA-2023-000106,2023-06-29,2023-06-30,CU-1237,Corporate,South,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.1,5.98,-21.21
CA-2024-000107,2024-04-15,2024-04-18,CU-1075,Corporate,South,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,3,0.0,19.18,-14.22
CA-2024-000108,2024-08-24,2024-08-27,CU-1393,Corporate,Central,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.0,7.05,-20.54
CA-2023-000109,2023-08-31,2023-09-04,CU-1674,Corporate,South,Office Supplies,Envelopes,Avery Self-Adhesive Address Labels,2,0.3,29.89,-15.57
CA-2023-000110,2023-01-09,2023-01-14,CU-1852,Corporate,East,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,2,0.3,62.13,-15.22
CA-2024-000111,2024-09-13,2024-09-20,CU-1675,Home Office,East,Office Supplies,Paper,Xerox Premium Multipurpose Paper,2,0.1,96.0,10.44
CA-2024-000112,2024-10-05,2024-10-06,CU-1749,Consumer,Central,Furniture,Tables,Hon Every-Day Round Conference Table,2,0.0,2776.45,271.42
CA-2023-000113,2023-10-30,2023-11-02,CU-1543,Home Office,South,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,1,0.0,56.52,-4.81
CA-2023-000114,2023-06-18,2023-06-21,CU-1823,Consumer,West,Furniture,Bookcases,Sauder Camden County Barrister Bookcase,4,0.3,1912.44,-158.46
CA-2023-000115,2023-03-19,2023-03-21,CU-1866,Home Office,South,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,1,0.1,52.09,-11.81
CA-2023-000116,2023-04-03,2023-04-10,CU-1268,Home Office,West,Office Supplies,Paper,Xerox Premium Multipurpose Paper,1,0.0,50.48,-2.69
CA-2024-000117,2024-10-15,2024-10-18,CU-1937,Home Office,East,Technology,Phones,Polycom CX600 IP Phone,1,0.0,441.85,57.82
CA-2024-000118,2024-10-25,2024-10-26,CU-1046,Consumer,South,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.1,6.14,-21.37
CA-2024-000119,2024-05-19,2024-05-20,CU-1760,Home Office,West,Technology,Phones,Polycom CX600 IP Phone,3,0.0,1230.32,214.35
CA-2024-000120,2024-08-24,2024-08-30,CU-1961,Corporate,Central,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,3,0.1,160.54,16.13
CA-2024-000121,2024-12-07,2024-12-10,CU-1376,Home Office,South,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,1,0.0,605.11,96.2
CA-2023-000122,2023-03-04,2023-03-08,CU-1217,Home Office,Central,Furniture,Furnishings,Eldon Image Series Desk Accessories,4,0.2,224.95,20.5
CA-2023-000123,2023-02-21,2023-02-28,CU-1567,Consumer,East,Office Supplies,Storage,Fellowes Bankers Box Heavy-Duty Storage Boxes,5,0.15,356.82,67.59
CA-2023-000124,2023-08-27,2023-08-30,CU-1133,Home Office,South,Technology,Accessories,SanDisk Ultra 64GB USB Flash Drive,2,0.1,56.16,-7.12
CA-2023-000125,2023-06-28,2023-06-29,CU-1331,Consumer,East,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.0,6.99,-20.54
CA-2023-000126,2023-09-29,2023-09-30,CU-1370,Home Office,Central,Technology,Accessories,Logitech MX Master Wireless Mouse,1,0.0,149.82,20.43
CA-2024-000127,2024-04-07,2024-04-12,CU-1308,Corporate,Central,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,2,0.1,1197.84,111.12
CA-2023-000128,2023-03-04,2023-03-08,CU-1920,Consumer,South,Technology,Accessories,Belkin 8-Outlet Surge Protector,1,0.0,84.3,-0.67
CA-2024-000129,2024-09-14,2024-09-16,CU-1611,Home Office,South,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,1,0.1,871.41,103.35
CA-2024-000130,2024-04-09,2024-04-14,CU-1787,Home Office,East,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.1,6.36,-21.01
CA-2024-000131,2024-03-16,2024-03-20,CU-1320,Corporate,South,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,1,0.15,34.51,-16.01
CA-2024-000132,2024-11-12,2024-11-15,CU-1095,Corporate,Central,Office Supplies,Paper,Xerox Premium Multipurpose Paper,1,0.2,38.16,-12.19
CA-2024-000133,2024-01-17,2024-01-24,CU-1420,Corporate,West,Technology,Accessories,Logitech MX Master Wireless Mouse,1,0.2,131.4,1.55
CA-2023-000134,2023-02-22,2023-02-25,CU-1229,Consumer,South,Office Supplies,Envelopes,Avery Self-Adhesive Address Labels,1,0.1,18.92,-16.84
CA-2024-000135,2024-07-23,2024-07-26,CU-1785,Home Office,Central,Technology,Accessories,Logitech MX Master Wireless Mouse,1,0.0,160.41,25.02
CA-2024-000136,2024-09-15,2024-09-21,CU-1347,Corporate,Central,Technology,Accessories,Belkin 8-Outlet Surge Protector,1,0.0,84.17,-1.61
CA-2023-000137,2023-07-05,2023-07-12,CU-1093,Home Office,East,Technology,Accessories,Logitech MX Master Wireless Mouse,2,0.0,338.86,90.56
CA-2024-000138,2024-01-21,2024-01-25,CU-1610,Consumer,Central,Office Supplies,Paper,Hammermill Copy Plus Paper,1,0.0,40.05,-7.25
CA-2023-000139,2023-06-09,2023-06-11,CU-1621,Corporate,West,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,1,0.0,55.55,-7.56
CA-2023-000140,2023-10-07,2023-10-09,CU-1498,Home Office,South,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,1,0.0,53.96,-6.93
CA-2023-000141,2023-02-16,2023-02-18,CU-1140,Corporate,South,Office Supplies,Paper,Xerox Premium Multipurpose Paper,2,0.0,99.73,13.69
CA-2023-000142,2023-12-02,2023-12-03,CU-1512,Home Office,South,Technology,Copiers,Canon imageCLASS 2200 Advanced Copier,2,0.0,4336.01,1347.56
CA-2023-000143,2023-03-15,2023-03-19,CU-1589,Corporate,West,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,1,0.0,44.45,-9.27
CA-2024-000144,2024-12-27,2025-01-02,CU-1632,Corporate,South,Office Supplies,Paper,Hammermill Copy Plus Paper,1,0.0,40.07,-7.7
CA-2023-000145,2023-04-01,2023-04-05,CU-1317,Home Office,South,Technology,Accessories,Belkin 8-Outlet Surge Protector,1,0.1,73.42,-8.35
CA-2023-000146,2023-08-15,2023-08-18,CU-1794,Corporate,South,Technology,Accessories,SanDisk Ultra 64GB USB Flash Drive,1,0.1,29.41,-16.96
CA-2024-000147,2024-10-22,2024-10-29,CU-1777,Home Office,Central,Technology,Accessories,Logitech MX Master Wireless Mouse,1,0.0,153.01,17.77
CA-2023-000148,2023-07-01,2023-07-08,CU-1903,Home Office,South,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,1,0.1,6.07,-21.13
CA-2024-000149,2024-10-04,2024-10-07,CU-1057,Corporate,Central,Technology,Accessories,Logitech MX Master Wireless Mouse,1,0.0,156.75,20.31
CA-2023-000150,2023-11-14,2023-11-18,CU-1875,Consumer,West,Office Supplies,Paper,Hammermill Copy Plus Paper,1,0.15,32.49,-13.52
CA-2024-000151,2024-04-18,2024-04-23,CU-1667,Consumer,South,Office Supplies,Art,Newell 312 Mechanical Pencil,2,0.2,15.22,-18.49
CA-2024-000152,2024-09-11,2024-09-15,CU-1731,Consumer,East,Office Supplies,Art,Newell 312 Mechanical Pencil,4,0.0,40.53,-4.56
CA-2023-000153,2023-02-10,2023-02-12,CU-1939,Corporate,West,Office Supplies,Labels,"Avery 5"" x 8"" Label",5,0.0,90.35,14.87
CA-2024-000154,2024-02-23,2024-03-01,CU-1096,Home Office,West,Office Supplies,Storage,Fellowes Bankers Box Heavy-Duty Storage Boxes,2,0.15,154.59,6.29
CA-2023-000155,2023-10-18,2023-10-21,CU-1596,Home Office,East,Office Supplies,Supplies,Stanley Bostitch Heavy-Duty Stapler,2,0.2,95.76,-7.92
CA-2023-000156,2023-12-25,2023-12-28,CU-1317,Home Office,West,Office Supplies,Storage,Tennsco Industrial Steel Shelving,2,0.0,720.9,188.81
CA-2024-000157,2024-10-20,2024-10-27,CU-1934,Home Office,Central,Office Supplies,Storage,Fellowes Bankers Box Heavy-Duty Storage Boxes,1,0.1,86.11,1.92
CA-2024-000158,2024-10-23,2024-10-29,CU-1970,Corporate,East,Office Supplies,Paper,Hammermill Copy Plus Paper,1,0.0,39.0,-9.97
CA-2023-000159,2023-08-20,2023-08-22,CU-1756,Home Office,Central,Technology,Accessories,Logitech G910 Mechanical Keyboard,1,0.15,226.27,19.82
CA-2024-000160,2024-11-08,2024-11-11,CU-1709,Home Office,East,Furniture,Furnishings,DAX Two-Tone Rosewood/Black Document Frame,2,0.1,69.85,-8.9
CA-2024-000161,2024-03-24,2024-03-25,CU-1766,Corporate,East,Office Supplies,Paper,Hammermill Copy Plus Paper,2,0.0,81.89,5.82
CA-2024-000162,2024-06-30,2024-07-02,CU-1969,Home Office,West,Office Supplies,Storage,Fellowes Bankers Box Heavy-Duty Storage Boxes,3,0.0,281.72,63.27
CA-2024-000163,2024-04-17,2024-04-24,CU-1820,Home Office,East,Furniture,Furnishings,Eldon Image Series Desk Accessories,1,0.0,71.99,3.13
CA-2023-000164,2023-09-14,2023-09-15,CU-1871,Consumer,South,Office Supplies,Fasteners,OIC Heavy-Duty Binder Clips,3,0.1,16.67,-16.1
CA-2023-000165,2023-03-27,2023-04-03,CU-1932,Consumer,West,Technology,Accessories,Logitech G910 Mechanical Keyboard,1,0.0,281.53,45.74
CA-2023-000166,2023-12-24,2023-12-25,CU-1229,Consumer,South,Office Supplies,Paper,Hammermill Copy Plus Paper,1,0.0,40.52,-9.85
CA-2023-000167,2023-04-12,2023-04-19,CU-1483,Home Office,East,Office Supplies,Labels,"Avery 5"" x 8"" Label",1,0.0,16.26,-16.2
CA-2024-000168,2024-12-23,2024-12-27,CU-1561,Home Office,West,Office Supplies,Paper,Hammermill Copy Plus Paper,1,0.0,39.55,-7.81
CA-2023-000169,2023-04-24,2023-05-01,CU-1468,Consumer,Central,Furniture,Furnishings,Eldon Image Series Desk Accessories,1,0.0,65.51,0.57
CA-2024-000170,2024-05-26,2024-05-31,CU-1001,Home Office,South,Office Supplies,Art,Newell 312 Mechanical Pencil,2,0.1,17.96,-17.19
CA-2023-000171,2023-09-04,2023-09-09,CU-1538,Home Office,Central,Office Supplies,Paper,Hammermill Copy Plus Paper,2,0.0,89.69,7.09
CA-2024-000172,2024-02-04,2024-02-11,CU-1807,Consumer,South,Office Supplies,Appliances,Hoover Commercial Lightweight Vacuum,2,0.3,632.58,-35.72
